R38,3173707.651936,0.111788,3173708.043661,3173708.155453
R39,3173707.693754,0.036419,3173708.155455,3173708.191878
R40,3173707.821460,0.015124,3173708.191880,3173708.207006
R41,3173707.967004,0.176741,3173708.207009,3173708.383753
R42,3173708.039511,0.033415,3173708.383756,3173708.417175
R43,3173708.260425,0.186534,3173708.417178,3173708.603715
R44,3173708.292934,0.096708,3173708.603718,3173708.700429
R45,3173708.346854,0.074024,3173708.700432,3173708.774459
R46,3173708.738643,0.163059,3173708.774462,3173708.937524
R47,3173708.872513,0.214719,3173708.937527,3173709.152248
R48,3173708.944897,0.140512,3173709.152251,3173709.292765
R49,3173709.008431,0.201567,3173709.292768,3173709.494339
R50,3173709.152526,0.020260,3173709.494341,3173709.514604
R51,3173709.234874,0.210611,3173709.514607,3173709.725221
R52,3173709.609979,0.177430,3173709.725224,3173709.902656
R53,3173709.629957,0.047129,3173709.902658,3173709.949792
R54,3173709.758048,0.027498,3173709.949794,3173709.977296
R55,3173709.878870,0.030616,3173709.977299,3173710.007917
R56,3173710.071601,0.021360,3173710.071651,3173710.093024
R57,3173710.145665,0.026941,3173710.145734,3173710.172688
R58,3173710.171631,0.044893,3173710.172698,3173710.217594
R59,3173710.273251,0.197754,3173710.273318,3173710.471084
R60,3173710.296488,0.011230,3173710.471091,3173710.482325
R61,3173710.310105,0.119092,3173710.482328,3173710.601422
R62,3173710.395621,0.227786,3173710.601425,3173710.829215
R63,3173710.918537,0.040266,3173710.918601,3173710.958879
R64,3173711.062720,0.038326,3173711.062785,3173711.101124
R65,3173711.235898,0.022026,3173711.235963,3173711.258003
R66,3173711.279449,0.023355,3173711.279514,3173711.302880
R67,3173711.389234,0.109777,3173711.389302,3173711.499091
R68,3173711.409906,0.131443,3173711.499097,3173711.630544
R69,3173711.426669,0.113898,3173711.630547,3173711.744454
R70,3173711.449078,0.249818,3173711.744462,3173711.994287
R71,3173711.458765,0.061436,3173711.994290,3173712.055731
R72,3173711.465515,0.022877,3173712.055733,3173712.078613
R73,3173711.489751,0.109934,3173712.078616,3173712.188555
R74,3173711.689567,0.285300,3173712.188558,3173712.473862
R75,3173711.823167,0.118834,3173712.473865,3173712.592701
R76,3173711.950692,0.012076,3173712.592704,3173712.604782
R77,3173711.962965,0.006788,3173712.604785,3173712.611577
R78,3173712.054771,0.019082,3173712.611580,3173712.630664
R79,3173712.063835,0.142751,3173712.630667,3173712.773422
R80,3173712.141192,0.117406,3173712.773425,3173712.890853
R81,3173712.247662,0.014312,3173712.890870,3173712.905189
R82,3173712.254335,0.019047,3173712.905193,3173712.924244
R83,3173713.748676,0.011172,3173713.748752,3173713.759938
R84,3173714.024544,0.004631,3173714.024612,3173714.029263
R85,3173714.789407,0.006256,3173714.789484,3173714.795770
