R147:2910333.687625,0.206683,2910333.846931,2910334.053650
R148:2910333.974211,0.018966,2910334.053667,2910334.072653
R149:2910334.172230,0.066181,2910334.172326,2910334.238539
R150:2910334.330082,0.196097,2910334.330166,2910334.526302
R151:2910334.365394,0.172609,2910334.526318,2910334.698946
R152:2910334.605819,0.071541,2910334.698954,2910334.770515
R153:2910334.674791,0.026674,2910334.770522,2910334.797212
R154:2910334.692579,0.056505,2910334.797218,2910334.853740
R155:2910334.892540,0.157508,2910334.892628,2910335.050160
R156:2910334.954867,0.028665,2910335.050175,2910335.078849
R157:2910335.023399,0.096048,2910335.078865,2910335.174928
R158:2910335.043318,0.012477,2910335.174936,2910335.187422
R159:2910335.173371,0.056509,2910335.187433,2910335.243954
R160:2910335.265802,0.107356,2910335.265897,2910335.373277
R161:2910335.447923,0.020915,2910335.448031,2910335.468969
R162:2910335.467570,0.010772,2910335.468987,2910335.479765
R163:2910335.536608,0.037248,2910335.536687,2910335.573968
R164:2910335.551503,0.223892,2910335.573981,2910335.797904
R165:2910335.590790,0.081093,2910335.797921,2910335.879030
R166:2910335.829926,0.142038,2910335.879040,2910336.021094
R167:2910336.011254,0.033994,2910336.021102,2910336.055111
R168:2910336.079809,0.089615,2910336.079912,2910336.169553
R169:2910336.129974,0.024969,2910336.169569,2910336.194544
R170:2910336.223866,0.006276,2910336.223962,2910336.230269
R171:2910336.240293,0.086823,2910336.240386,2910336.327238
R172:2910336.251731,0.028338,2910336.327252,2910336.355610
R173:2910336.296938,0.007964,2910336.355619,2910336.363590
R174:2910336.337208,0.227135,2910336.363598,2910336.590764
R175:2910336.392974,0.025709,2910336.590779,2910336.616498
R176:2910336.480608,0.119546,2910336.616509,2910336.736071
R177:2910336.588140,0.014259,2910336.736080,2910336.750343
R178:2910336.654988,0.081884,2910336.750350,2910336.832247
R179:2910336.869602,0.019416,2910336.869715,2910336.889164
R180:2910336.942553,0.046289,2910336.942638,2910336.988955
R181:2910337.024121,0.041793,2910337.024202,2910337.066029
R182:2910337.201309,0.032879,2910337.201412,2910337.234312
R183:2910337.229353,0.084827,2910337.234326,2910337.319172
R184:2910337.360074,0.034405,2910337.360111,2910337.394550
R185:2910337.779042,0.012189,2910337.779150,2910337.791390
R186:2910338.006921,0.000452,2910338.007016,2910338.007502
R187:2910338.059844,0.124078,2910338.059949,2910338.184059
R188:2910338.212786,0.010149,2910338.212876,2910338.223057
R189:2910338.247587,0.106380,2910338.247688,2910338.354100
R190:2910338.448261,0.049684,2910338.448350,2910338.498068
R191:2910338.453332,0.102558,2910338.498082,2910338.600691
R192:2910338.883617,0.053521,2910338.883712,2910338.937269
R193:2910338.907341,0.008219,2910338.937284,2910338.945520
R194:2910339.107749,0.040226,2910339.107837,2910339.148099
R195:2910339.118263,0.089198,2910339.148112,2910339.237320
R196:2910339.154194,0.011768,2910339.237328,2910339.249103
R197:2910339.319805,0.004575,2910339.319898,2910339.324507
R198:2910339.325122,0.126507,2910339.325137,2910339.451664
R199:2910339.386336,0.048700,2910339.451673,2910339.500427
R200:2910339.504148,0.074226,2910339.504220,2910339.578469
R201:2910339.516850,0.062901,2910339.578484,2910339.641404
R202:2910339.603296,0.037441,2910339.641410,2910339.678861
R203:2910339.693722,0.182978,2910339.693816,2910339.876835
R204:2910339.730030,0.015509,2910339.876863,2910339.892386
R205:2910339.794782,0.062168,2910339.892392,2910339.954573
R206:2910339.888888,0.075569,2910339.954583,2910340.030169
R207:2910339.985387,0.147569,2910340.030175,2910340.177756
R208:2910340.012020,0.008672,2910340.177766,2910340.186450
R209:2910340.019298,0.015492,2910340.186457,2910340.201960
R210:2910340.276654,0.021294,2910340.276755,2910340.298079
R211:2910340.342408,0.028638,2910340.342496,2910340.371160
R212:2910340.517748,0.175501,2910340.517783,2910340.693316
R213:2910340.561969,0.140575,2910340.693331,2910340.833925
R214:2910340.604186,0.003084,2910340.833934,2910340.837022
R215:2910340.711839,0.125520,2910340.837026,2910340.962558
R216:2910340.741632,0.150710,2910340.962567,2910341.113302
R217:2910340.839991,0.020813,2910341.113319,2910341.134152
R218:2910340.876856,0.078991,2910341.134158,2910341.213162
R219:2910340.898947,0.093560,2910341.213168,2910341.306738
R220:2910340.910584,0.105920,2910341.306742,2910341.412677
R221:2910341.063043,0.042734,2910341.412682,2910341.455430
R222:2910341.085428,0.047431,2910341.455435,2910341.502879
R223:2910341.123384,0.040613,2910341.502886,2910341.543509
R224:2910341.149672,0.014008,2910341.543514,2910341.557533
R225:2910341.225805,0.001224,2910341.557538,2910341.558770
R226:2910341.306881,0.040128,2910341.558775,2910341.598914
R227:2910341.354742,0.111429,2910341.598920,2910341.710361
R228:2910341.391202,0.087404,2910341.710366,2910341.797784
R229:2910341.421385,0.210052,2910341.797791,2910342.007856
R230:2910341.501770,0.138300,2910342.007865,2910342.146182
R231:2910341.617623,0.031158,2910342.146188,2910342.177350
